Data,Raste te reja ditore,,Te sheruar ne 24 ore,Te shtruar ne spitale,Humbje jete ne 24 ore
44198,,268,415,286,4
44199,,447,295,295,3
44200,,185,348,274,6
44201,,660,555,287,11
44202,,725,551,273,7
44203,,697,433,260,6
44204,,673,436,260,7
44205,,655,356,273,3
44206,,562,321,274,8
44207,,376,333,263,6
44208,,656,440,258,5
44209,,707,439,268,4
44210,,660,386,271,5
44211,,641,379,280,4
44212,,581,465,276,5
44213,,474,363,282,7
44214,,292,417,282,4
44215,,586,594,277,6
44216,,670,505,279,4
44217,,678,457,285,5
44218,,739,469,274,7
44219,,786,489,271,7
44220,,833,506,286,5
44221,,538,401,282,9
44222,,879,589,284,8
44223,,876,503,280,7
44224,,887,523,292,11
44225,,896,514,309,8
44226,,901,507,287,11
44227,,876,497,343,11
44228,,865,498,365,13
44229,,942,455,405,5
44230,,1007,581,404,6
44231,,1052,585,408,14
44232,,1089,676,423,15
44233,,1130,656,431,13
44234,,1124,569,437,14
44235,,953,684,449,12
44236,,1239,805,471,16
44237,,1143,683,483,15
44238,,1105,746,492,14
44239,,1059,881,502,14
44240,,1152,740,512,12
44241,,1088,781,531,12
44242,,775,972,547,12
44243,,801,1058,558,15
44244,,1075,890,585,18
44245,,1112,991,594,17
44246,,1071,930,618,19
44247,,1153,928,606,17
44248,,1184,796,632,13
44249,,1153,928,606,17
44250,,1021,1085,648,15
44251,,1021,906,647,19
44252,,986,849,628,21
44253,,916,849,625,20
44254,,986,962,642,19
44255,,952,804,662,21
44256,,764,640,659,20
44257,,892,760,650,19
44258,,851,903,606,21
44259,,847,777,609,20
44260,,780,757,638,21
44261,,777,742,639,21
44262,,819,838,647,21
44263,,683,697,646,17
44264,,629,897,661,13
44265,,631,714,649,17
44266,,602,761,620,16
44267,,681,872,506,16
44268,,698,690,492,12
44269,,653,662,501,15
44270,,543,578,485,15
44271,,475,749,445,17
44272,,446,744,440,15
44273,,590,710,406,14
44274,,494,690,390,16
44275,,519,671,399,11
44276,,659,522,392,4
44277,,344,699,399,8
44278,,303,651,94,11
44279,,448,696,357,15
44280,,472,567,340,13
44281,,449,589,343,8
44282,,425,550,320,12
44283,,493,557,327,6
44284,,285,568,311,6
44285,,304,593,293,11
44286,,434,654,271,8
44287,,349,604,279,6
44288,,336,625,276,6
44289,,341,673,263,9
44290,,348,669,262,9
44291,,264,589,255,9
44292,,141,604,256,9
44293,,256,565,256,8
44294,,317,529,247,6
44295,,286,543,237,7
44296,,360,534,227,6
44297,,238,517,221,7
44298,,125,546,204,4
44299,,234,634,192,5
44300,,207,538,194,5
44301,,169,572,182,4
44302,,179,587,182,2
44303,,149,542,174,3
44304,,138,442,175,2
44305,,100,587,173,5
44306,,148,430,165,6
44307,,138,465,160,5
44308,,134,516,155,6
44309,,156,696,155,3
44310,,139,738,154,5
44311,,128,712,149,6
44312,,69,737,147,1
44313,,130,698,142,4
44314,,123,724,122,3
44315,,118,719,129,3
44316,,108,732,116,5
44317,,100,834,116,2
44318,,53,748,124,1
44319,,38,872,123,2
44320,,51,834,116,3
44321,,92,842,112,1
44322,,91,894,111,3
44323,,67,891,104,2
44324,,89,873,99,3
44325,,57,963,107,1
44326,,30,952,99,4
44327,,50,1020,96,4
44328,,42,1011,88,3
44329,,45,1050,86,3
44330,,49,983,84,1
44331,,39,976,83,2
44332,,37,1231,85,3
44333,,17,1107,80,3
44334,,39,986,71,1
44335,,24,835,73,2
44336,,23,629,68,2
44337,,35,556,61,1
44338,,23,176,60,1
44339,,33,131,57,2
44340,,6,94,57,1
44341,,14,81,43,2
44342,,15,71,43,0
44343,,20,64,43,0
44344,,21,55,41,1
44345,,12,118,41,1
44346,,12,93,42,1
44347,,6,123,39,1
44348,,22,42,37,0
44349,,14,48,35,0
44350,,9,45,31,0
44351,,12,32,30,0
44352,,2,29,28,0
44353,,5,37,28,0
44354,,5,38,24,1
44355,,13,34,23,0
44356,,18,25,20,0
44357,,11,24,20,0
44358,,11,22,22,1
44359,,12,19,21,0
44360,,10,16,20,0
44361,,2,23,20,0
44362,,8,14,19,1
44363,,7,9,18,0
44364,,5,7,9,0
44365,,3,8,7,0
44366,,4,7,7,0
44367,,2,8,5,0
44368,,1,11,3,1
44369,,5,12,2,0
44370,,1,14,2,0
44371,,2,11,3,0
44372,,7,9,2,0
44373,,3,7,1,1
44374,,3,8,1,0
44375,,1,4,1,0
44376,,1,8,1,0
44377,,7,7,1,0
44378,,2,5,2,0
44379,,3,4,3,0
44380,,8,5,3,0
44381,,1,4,4,0
44382,,2,2,3,0
44383,,7,4,3,0
44384,,13,2,3,0
44385,,8,2,5,0
44386,,15,6,6,0
44387,,7,4,7,0
44388,,5,3,7,0
44389,,5,2,7,0
44390,,11,1,8,0
44391,,8,6,8,0
44392,,13,2,6,0
44393,,18,6,5,0
44394,,18,5,5,0
44395,,21,2,5,0
44396,,11,7,6,0
44397,,43,5,6,0
44398,,23,11,5,0
44399,,34,12,5,0
44400,,31,9,6,0
44401,,25,7,8,0
44402,,22,14,9,0
44403,,16,13,11,0
44404,,31,14,13,0
44405,,30,8,17,1
44406,,47,13,18,0
44407,,37,18,20,0
44408,,45,17,21,0
44409,,40,21,24,0
44410,,25,13,20,0
44411,,65,35,20,0
