Titulli Filmit,Zhanri,Buxheti,Popullariteti,Data e publikimit,Te ardhurat,Kohezgjatja,Vota Mesatare,Numri i Votave
Avatar,Action,237000000,150.437577,2009-12-10,2787965087,162,7.2,11800
Pirates of the Caribbean: At World's End,Adventure,300000000,139.082615,2007-05-19,961000000,169,6.9,4500
Spectre,Action,245000000,107.376788,2015-10-26,880674609,148,6.3,4466
The Dark Knight Rises,Action,250000000,112.31295,2012-07-16,1084939099,165,7.6,9106
John Carter,Action,260000000,43.926995,2012-03-07,284139100,132,6.1,2124
Spider-Man 3,Fantasy,258000000,115.699814,2007-05-01,890871626,139,5.9,3576
Tangled,Animation,260000000,48.681969,2010-11-24,591794936,100,7.4,3330
Avengers: Age of Ultron,Action,280000000,134.279229,2015-04-22,1405403694,141,7.3,6767
Harry Potter and the Half-Blood Prince,Adventure,250000000,98.885637,2009-07-07,933959197,153,7.4,5293
Batman v Superman: Dawn of Justice,Action,250000000,155.790452,2016-03-23,873260194,151,5.7,7004
Superman Returns,Adventure,270000000,57.925623,2006-06-28,391081192,154,5.4,1400
Quantum of Solace,Adventure,200000000,107.928811,2008-10-30,586090727,106,6.1,2965
Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000,145.847379,2006-06-20,1065659812,151,7,5246
The Lone Ranger,Action,255000000,49.046956,2013-07-03,89289910,149,5.9,2311
Man of Steel,Action,225000000,99.398009,2013-06-12,662845518,143,6.5,6359
The Chronicles of Narnia: Prince Caspian,Adventure,225000000,53.978602,2008-05-15,419651413,150,6.3,1630
The Avengers,Science Fi,220000000,144.448633,2012-04-25,1519557910,143,7.4,11776
Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,135.413856,2011-05-14,1045713802,136,6.4,4948
Men in Black 3,Action,225000000,52.035179,2012-05-23,624026776,106,6.2,4160
The Hobbit: The Battle of the Five Armies,Action,250000000,120.965743,2014-12-10,956019788,144,7.1,4760
The Amazing Spider-Man,Action,215000000,89.866276,2012-06-27,752215857,136,6.5,6586
Robin Hood,Action,200000000,37.668301,2010-05-12,310669540,140,6.2,1398
The Hobbit: The Desolation of Smaug,Adventure,250000000,94.370564,2013-12-11,958400000,161,7.6,4524
The Golden Compass,Adventure,180000000,42.990906,2007-12-04,372234864,113,5.8,1303
King Kong,Adventure,207000000,61.22601,2005-12-14,550000000,187,6.6,2337
Titanic,Drama,200000000,100.025899,1997-11-18,1845034188,194,7.5,7562
Captain America: Civil War,Adventure,250000000,198.372395,2016-04-27,1153304495,147,7.1,7241
Battleship,Thriller,209000000,64.928382,2012-04-11,303025485,131,5.5,2114
Jurassic World,Action,150000000,418.708552,2015-06-09,1513528810,124,6.5,8662
Skyfall,Action,200000000,93.004993,2012-10-25,1108561013,143,6.9,7604
Spider-Man 2,Action,200000000,35.149586,2004-06-25,783766341,127,6.7,4321
Iron Man 3,Action,200000000,77.68208,2013-04-18,1215439994,130,6.8,8806
Alice in Wonderland,Family,200000000,78.530105,2010-03-03,1025491110,108,6.4,4645
X-Men: The Last Stand,Adventure,210000000,3.857526,2006-05-24,459359555,104,6.3,3525
Monsters University,Animation,200000000,89.186492,2013-06-20,743559607,104,7,3528
Transformers: Revenge of the Fallen,Science Fi,150000000,21.939663,2009-06-19,836297228,150,6,3138
Transformers: Age of Extinction,Science Fi,210000000,116.840296,2014-06-25,1091405097,165,5.8,3095
Oz: The Great and Powerful,Fantasy,200000000,46.985445,2013-03-07,491868548,130,5.7,3530
The Amazing Spider-Man 2,Action,200000000,89.270217,2014-04-16,705717432,142,6.5,4179
TRON: Legacy,Adventure,170000000,73.79505,2010-12-10,400062763,125,6.3,2841
Cars 2,Animation,200000000,49.98659,2011-06-11,559852396,106,5.8,2033
Green Lantern,Adventure,200000000,51.872839,2011-06-16,219851172,114,5.1,2487
Toy Story 3,Animation,200000000,59.995418,2010-06-16,1066969703,103,7.6,4597
Terminator Salvation,Action,200000000,71.862892,2009-05-20,371353001,115,5.9,2463
Furious 7,Action,190000000,102.322217,2015-04-01,1506249360,137,7.3,4176
World War Z,Action,200000000,81.834855,2013-06-20,531865000,116,6.7,5560
X-Men: Days of Future Past,Action,250000000,118.078691,2014-05-15,747862775,131,7.5,6032
Star Trek Into Darkness,Action,190000000,78.291018,2013-05-05,467365246,132,7.4,4418
Jack the Giant Slayer,Action,195000000,43.349855,2013-02-27,197687603,114,5.5,2598
The Great Gatsby,Drama,105000000,61.196071,2013-05-10,351040419,143,7.3,3769
